City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date,Current Weather Conditions
96,Mujiayingzi,42.1167,118.7833,61.81,51,100,5.5,CN,2021-06-06 19:46:12,overcast clouds
97,Ust-Kuyga,70.0167,135.6,45.03,62,5,4.29,RU,2021-06-06 19:46:12,clear sky
98,Usinsk,65.9939,57.5281,39.34,62,68,9.35,RU,2021-06-06 19:46:13,broken clouds
99,Arraial Do Cabo,-22.9661,-42.0278,80.56,73,0,11.5,BR,2021-06-06 19:46:13,clear sky
100,Pevek,69.7008,170.3133,47.1,70,41,13.58,RU,2021-06-06 19:46:13,scattered clouds
101,Mar Del Plata,-38.0023,-57.5575,57.22,61,0,1.01,AR,2021-06-06 19:41:32,clear sky
102,Anshun,26.25,105.9333,62.31,71,61,0.98,CN,2021-06-06 19:46:14,broken clouds
103,Yuzhno-Kurilsk,44.0306,145.8556,51.28,89,66,5.79,RU,2021-06-06 19:46:14,broken clouds
104,Ribeira Grande,38.5167,-28.7,68.4,77,40,10.36,PT,2021-06-06 19:46:15,scattered clouds
105,Haines Junction,60.7522,-137.5108,51.75,76,100,4.61,CA,2021-06-06 19:41:33,overcast clouds
106,Luganville,-15.5333,167.1667,76.87,83,100,9.51,VU,2021-06-06 19:46:15,overcast clouds
107,Cobija,-11.0267,-68.7692,85.35,55,92,1.7,BO,2021-06-06 19:46:15,overcast clouds
108,Erenhot,43.6475,111.9767,67.51,42,100,4.07,CN,2021-06-06 19:46:16,overcast clouds
109,Kamenka,51.3223,42.7678,56.01,91,72,5.55,RU,2021-06-06 19:46:16,broken clouds
110,Hovd,48.0056,91.6419,46.15,43,6,5.28,MN,2021-06-06 19:46:17,clear sky
111,Tasiilaq,65.6145,-37.6368,44.76,90,97,3.29,GL,2021-06-06 19:46:17,overcast clouds
112,Bouna,9.2667,-3.0,78.13,72,50,6.4,CI,2021-06-06 19:46:18,moderate rain
113,Avarua,-21.2078,-159.775,73.45,68,75,3.44,CK,2021-06-06 19:46:18,broken clouds
114,Tiksi,71.6872,128.8694,43.99,65,100,6.42,RU,2021-06-06 19:46:18,overcast clouds
115,Airai,-8.9266,125.4092,55.06,82,69,2.75,TL,2021-06-06 19:46:19,broken clouds
116,Lagoa,39.05,-27.9833,64.04,90,100,12.8,PT,2021-06-06 19:46:19,overcast clouds
117,Yellowknife,62.456,-114.3525,48.72,57,75,3.0,CA,2021-06-06 19:45:15,broken clouds
